Pelicula_id,Nombre,Director,Guionista,Argumento,Duración,Puntuación_IMDb,Puntuación_Rotten
tt11656132,You Really Got Me,Hayley Osborne,Hayley Osborne,"It's 1964. James and Linda are young and in love, until one day she disappears. 43 years later he finds her, but James has to find out: is it always best to know the truth? You Really Got Me looks at whether love and hope are powerful enough to overcome prejudice.",10,8.8,Null
tt6791350,Guardianes de la Galaxia Vol. 3,James Gunn,"James Gunn, Jim Starlin, Stan Lee","Todavía conmocionado por la pérdida de Gamora, Peter Quill reúne a su equipo para defender el universo y a uno de los suyos, una misión que podría significar el fin de los Guardianes si no tienen éxito.",150,7.9," 82"
tt13789706,Lego Gateway to the Land of Weird and Madness,Starwarsstudio100,Starwarsstudio100,No encontrado,58,8.1,Null
tt11296358,Tottenham Hotspur Football Club vs Liverpool Football Club,No encontrado,No encontrado,,90,No encontrado,Null
tt13004540,Into the Woods,Joshua B. Alexander,Joshua B. Alexander,"Several weeks before the major Zombie apocalypse. And the start of Grave: Reanimation (Book 1). In December 2047, Ciel and Mya go on a hike. Mya ends up being lost and Ciel goes on a search. Later on, Ciel finds out that Mya was kidnapped and she encounters cannibals.",10,No encontrado,Null
tt13131186,Enemy,Anand Shankar,"Shan Karuppusamy, Anand Shankar",It's the story of two childhood friends and their escalating competitive nature. To what extent are they ready to go?,159,6.1," 72"
tt2094825,Gearheads,John O. Hartman,Dan Mahon,"A mysterious mentor helps a conflicted teen overcome his fear of driving, and win the race of his life at the local dirt track in Smalltown, USA.",82,2.9,Null
tt10264878,A Stormy Night,David Moragas,David Moragas,"Marcos aterriza en Nueva York solo para descubrir que su vuelo de escala a San Francisco ha sido cancelado. Al no tener adónde ir, termina en el apartamento de su amigo con un completo extraño: Alan.",80,5.7,Null
tt10048408,La ola de crímenes,Manu Ochoa,Manu Ochoa,No encontrado,70,No encontrado,Null
tt10944760,Titane,Julia Ducournau,"Julia Ducournau, Jacques Akchoti, Simonetta Greggio","Luego de una serie de crímenes inexplicables, un padre se reencuentra con su hijo que ha estado desaparecido durante 10 años",108,6.5,Null
tt11111286,Reboot Camp,Ivo Raza,Ivo Raza,"Tras de descubrir que su mujer se ha gastado los ahorros de toda su vida en gurús de la autoayuda, Seymour se une a su hermano Danny, director de cine, para documentar lo fácil que es crear un falso grupo de autoayuda y estafar a la gente.",97,4.5,Null
tt1438173,Bait (Carnada),Kimble Rendall,"Russell Mulcahy, John Kim, Duncan Kennedy",Un tsunami en Australia atrapa a los clientes de un supermercado en el edificio con enormes tiburones blancos.,93,5.2,Null
tt16252698,Passages,Ira Sachs,"Mauricio Zacharias, Ira Sachs, Arlette Langmann",El matrimonio de una pareja gay entra en crisis cuando uno de ellos comienza impulsivamente una apasionada aventura con una joven.,91,6.7,Null
tt10346304,Handjob Cabin,Bennet Silverman,Bennet Silverman,"4 friends descend on a log cabin for a weekend of fun, but an ominous sexually frustrated presence resides within.",3,7.9,Null
tt16913084,Case #111-878,Jason Durgana,Jason Durgana,"Inspired by true events. After 40 years of evidence is collected during a 20-year-long investigation, a federal agent closes in on 1 of the most elusive punishers the world has yet to discover.",No encontrado,No encontrado,Null
tt11723588,What Lies Ahead Part II,Ronnie L. Cleary,"Ronnie L. Cleary, Rena Mac, Monegle",,3,No encontrado," 18"
tt2401176,Long Shot Louie,John Bianco,"John Bianco, Steve Stanulis","A dark, gritty drama that wraps around Louie Lazaro. a drug addict and a male dancer. As he tries to escape the evils of his past.",87,6.2,Null
tt3220192,Un plan perfecto,Alain Darborg,"Piotr Marciniak, Alain Darborg",Charles-Ingvar Jönsson reúne a tres delincuentes para vengarse de las personas que mataron a su tío.,91,5.4,Null
tt11355340,Bangaru Bullodu,P.V. Giri,"P.V. Giri, Veligonda Srinivas, Rishabh Purohit","Prasad is a gold appraiser at a local bank and his grandfather is a goldsmith. Though Prasad is the youngest, he takes care of the whole family. His grandfather lets him in on a secret and how Prasad fulfills his wish forms the story.",147,5.3,Null
tt14149544,Historias para no contar,Cesc Gay,"Tomàs Aragay, Cesc Gay",Situaciones con las que nos podemos identificar y que preferiríamos no contar: cinco historias con una mirada ácida y compasiva a la incapacidad para controlar nuestras propias emociones.,100,6.2,Null
tt10643474,Dinner With Grandma,Christian Madsen,Christian Madsen,"When a hitman's last day on the job conflicts alongside his annual dinner date with his grandmother, predicaments emerge and the unexpected truth is finally revealed.",26,No encontrado,Null
tt11444602,Vaazhl,Arun Prabhu Purushothaman,No encontrado,"Vaazhl' is a film about inner search, through travel and journey to discover your true self.",112,6.8,Null
tt11526646,Sonata,Mason Cade Packer,Mark Tilley,"Parker Cohen, a talented young pianist, is confronted with the toxicity of an old relationship when his ex-boyfriend Deon shows up on the night of a major musical showcase.",15,No encontrado,Null
tt1234721,RoboCop,José Padilha,"Joshua Zetumer, Edward Neumeier(1987 motion picture)Michael Miner(1987 motion picture)","En el Detroit de 2028, cuando Alex Murphy, amante esposo, padre y buen policía, es gravemente herido en el cumplimiento del deber, el conglomerado multinacional OmniCorp ve su oportunidad de tener un policía parte hombre y parte robot.",117,6.1,Null
tt2363115,Bula Quo!,Stuart St Paul,"Jean Heard, Stuart St Paul",Francis Rossi and Rick Parfitt from legendary English rock group Status Quo witness a gang murder in Fiji. They flee with crucial evidence; have they played their last gig?,91,3.9,Null
tt13451738,Kodiyil Oruvan,Ananda Krishnan,Ananda Krishnan,Situations push a common man to oppose an influential guy in his area and how he develops himself stronger to fight back his enemies forms the crux of the story.,151,6.7,Null
tt0326716,5-25-77,Patrick Read Johnson,Patrick Read Johnson,"La épica historia de Pat Johnson, un aspirante director de cine alienado, sobre su infancia en la Illinois rural, su enamoramiento y su conversión en el primer fan de la película que lo cambió todo.",132,6.5,Null
tt12623080,The Immortal President,Prince Jagadeesh Daneti,Prince Jagadeesh Daneti,"Real story of Abdul Kalam, a minority boy turned exemplary scientist, ""Missile Man"" and 11th President of India. Selfless contribution, dedication towards his motherland and zeal for youth empowerment made him The Immortal President.",No encontrado,No encontrado,Null
tt15576902,Writer's Block,Louise Hylland,Louise Hylland,A young writer is suffering from depressive writer's block. She slowly loses her mind and as the voices intensives she dives deeper into herself and why she can't write.,7,No encontrado,Null
tt13154644,The Sound Eye,Rodney Mansour,"Wassim Hawat, Rodney Mansour",A psychological thriller about a broken romance told through the lens of an obsessive videographer.,38,9.7,Null
tt10761996,Home Movies,Keagan Karnes,Keagan Karnes,No encontrado,No encontrado,No encontrado,Null
tt2389162,American Muscle,Ravi Dhar,John Fallon,John Falcon did 10 years of hard time in prison. Now he's got 24 hours to get revenge on every person who had a hand in sending him there.,79,4.2,Null
tt11878266,Adventures in Success,Jay Buim,"Jay Buim, Susan Juvet, Rachel Gayle Webster","A sex-cult settles in the Catskills to build community and spread knowledge, led by their mystical female founder. Their mission is to prioritize pleasure through a ritual called Jilling Off, which they believe will heal Mother Earth.",98,4.0,Null
tt10100678,Losers Revolution,Thomas Ancora,Thomas Ancora,"Simon, Mehdi and Fred, 3 childhood friends are invited to the funeral of Juan, a former school mate, who has a last wish: he wants the boys to start a ""Losers Revolution"" and seek revenge on their high school bullies.",89,5.8,Null
tt31389842,Lâcher Prise,Gérald Portenart,"Julie Amalric, Aurélia Dury, Gérald Portenart",No encontrado,No encontrado,No encontrado,Null
tt10055762,Mullapoo Viplavam,Niclson Poulose,"Anil Chandrasekaran, Kumar K. Nambiar, Niclson Poulose",,136,No encontrado,Null
tt10773090,Sarileru Neekevvaru,Anil Ravipudi,"Anil Ravipudi, Narra Praveen, G. Adi Narayana",Un comandante del ejército enviado a Kurnool para acompañar a la familia de su colega herido termina enfrentándose a un ministro corrupto que tiene como objetivo a la familia.,169,5.8,Null
tt10074486,Ting er zou xian,Jacky Gan,"Jacky Gan, Jin Jin, Meng Li","LIU is in desperate need of money after losing at gambling, again. A friend can help, he just needs to steal an unregistered car back and resell it. The simple scam becomes complicated when they find a little girl in the trunk of the car.",103,5.9,Null
tt1543758,Rooftop Wars,Miguel Silveira,Miguel Silveira,A group of children steal away from their neighborhood street parade to wage a children's war on a rooftop.,17,8.2,Null
tt12850788,Hollywood Ghosts,Hosam Ibrahim,Joseph Guinan,"The Ghost of Elvis (Performed by SAG-AFTRA Singer & Actor Johnny Fontane) haunts the Elvis Impersonator in the 1904 real life haunted building (across the street from PARAMOUNT PICTURES STUDIOS), with many other Ghosts in this Horror Comedy Feature including true life history that will have you on the edge of your seat frightened and on the other side laughing until y... Leer todo",No encontrado,No encontrado,Null
tt10328320,The Christmas Project 2,Brad Johnson,Sally Meyer,Un chico torpe se ve obligado a salir de su caparazón cuando su némesis de la escuela regresa a la ciudad e intenta robar a su novia.,87,4.7,Null
tt13148552,A Walk in West LA,Remington Hoffman,Christopher Collins,Two friends take a look back at their journey in Los Angeles one last time as they part ways.,20,9.4,Null
tt1020558,Centurión,Neil Marshall,Neil Marshall,Un grupo disidente de soldados romanos lucha por su vida tras las líneas enemigas después de que su legión sea devastada en un ataque de guerrilla.,97,6.3,Null
tt2182163,Ta hronika tou Drakofoinika: Adamastos,Thanos Kermitsis,"Thanos Kermitsis, Yannis Rubus Rubulias, John Tzouvelekis","A savage warrior escapes slavery and hunted by his former masters, begins a perilous journey back to his homeland and his wife.",126,5.6,Null
tt3295088,Forgotten Kingdom,Jamal Blair,Jamal Blair,Mankind's forgotten past is affecting its future as one young man finds himself caught in the middle of a war between descendants of the original humans.,98,No encontrado,Null
tt11885734,The Beginning & The Middle,Alexis G. Zall,Alexis G. Zall,Two childhood best friends are reunited at a house party and debate the pros and cons of finally hooking up.,10,8.2," 40"
tt15337392,Waiting for Eve,Ima von Wenden,Amanda Dee,"When the two flatmates, complete opposites, both platonically involved with the presently absent landlady, find themselves in a pandemic lockdown, they have to learn to get along overcoming their differences.",20,9.5,Null
tt16428256,Suzume,Makoto Shinkai,Makoto Shinkai,Una historia moderna de acción y aventuras en la que una chica de 17 años llamada Suzume ayuda a un misterioso joven a cerrar puertas desde el exterior que están provocando desastres por todo Japón.,122,7.6,Null
tt15496962,Let Me Assist You,Noam Argov,Noam Argov,"After an absolutely devastating breakup, a man's AI virtual assistant tries to take over as his fitness and wellness coach.",9,7.7,Null
tt10050942,Fix Me,Woonyea Han,Woonyea Han,,No encontrado,No encontrado,Null
tt10394974,Siegfried's Cooking Adventures - Colombian Casserole 1.1,Jason Harriman,Jason Harriman,,No encontrado,No encontrado,Null
tt13153938,The Stalking Investigators Movie,Graham Abraham,Graham Abraham,No encontrado,90,No encontrado,Null
tt10965102,Mujeres Silenciosas,Sergio Tovar Velarde,Orlando Manrique,No encontrado,No encontrado,No encontrado,Null
tt1517628,Black Ops Arabesque,Jared Drake,Nathaniel Eyde,No encontrado,5,4.9,Null
tt14075220,The Trials,Michael Eric Olson,Michael Eric Olson,Entry in the Saber Competition 2017,3,No encontrado,Null
tt10550580,Get Lucky,Ingela Ogard,Torkel Knutsson,"Tim and Cathryn are a couple in their early 40's. They haven't really gotten anywhere in life - no career, no college, no direction, no ambition and no kids... And now that the biological clock is ticking they have decided that the most important thing for them is to have a baby. Something that they, like many other couples their age, discover is harder than they imag... Leer todo",No encontrado,No encontrado,Null
tt1743985,Yuma,Piotr Mularuk,"Wojciech Gajewicz, Piotr Mularuk","A story about the rise and fall of Zyga - a Polish kid in his early twenties, who wants to take charge of his life after the fall of communism, but in a time of chaos and moral anarchy, unwillingly becomes a gangster.",113,6.0,Null
tt11423922,Wrony,Michal Bernas,"Kornel Bartmanski, Michal Bernas",,No encontrado,No encontrado,Null
tt10975052,Cheater Cheater,Harris Claude Beauchamp,Harris Claude Beauchamp,No encontrado,No encontrado,No encontrado,Null
tt15020362,Beaver Boys,Jeffrey Ho,Jeffrey Ho,The Beaver Boys attempt to save the planet from plastic pollution and are determined to protect Mother Nature.,No encontrado,No encontrado,Null
tt11108532,Dog Day,Shreyash Srivastava,Shreyash Srivastava,A day in the life of college gangsters and their larger than life persona.,20,No encontrado,Null
tt21426870,Bittersweet Sundays,Connor Larkin,Connor Larkin,"After being confused for someone else, a young man gets forced into doing a job intended for a gangster.",17,No encontrado,Null
tt21609236,Rainey Storms,Marquand Ragland,Earlina D Gilford Shine,,120,3.4,Null
tt13135816,Mum-BHAIs,Neel Chaudhari,"Neel Chaudhari, Siddesh Shankar, Sandeep Sidhu","Rangapathy and Saagdeep, two men who have fallen head over heels for the beautiful girl Sanjana, must put aside their differences and embrace the power of friendship to defeat the evilest villain of Mumbai.",13,No encontrado,Null
tt2551378,Bullett Raja,Tigmanshu DhuliaAjit SableSanjiv Trigunayat,"Tigmanshu Dhulia, Amaresh Misra","A common man who transforms into a gangster revolts against the very system he once obediently followed by declaring war on the police, the government, and the industrialists.",138,4.9,Null
tt16446084,Vairam,Saisivan,Saisivan,,No encontrado,No encontrado,Null
tt10525184,The Economy Parody,Peter Boiadzhieff,Peter Boiadzhieff,"Peter Boiadzhieff promise to recover the American Dream for every hard working person in America. These are the three things in his program: 1. Brand new yacht. 2. Solve the economy, eliminate the dept with removing the three zeros, give a start capital with adding three zero, and 3. Everyone should own a bridge. Sarah Heike (Jamie Keenan)- Reporter of KnVideoStudio s... Leer todo",No encontrado,No encontrado,Null
tt12175392,Me Again...,Spencer Morgan,No encontrado,,No encontrado,No encontrado,Null
tt14617606,Huonot naiset,Niklas Lindgren,"Karoliina Lindgren, Niklas Lindgren","Follows the hostess of the parish house of a wedding and her daughter, who are responsible for the wedding arrangements, but end up having to deal with a busload of unexpected guests.",97,6.3,Null
tt12781876,Mass State Lottery,Jay Karales,"Jay Karales, Leobardo Chacon Rodriguez",A private investigator manipulates a grieving mother.,No encontrado,No encontrado," 67"
tt10009878,Encrypted: The Cyber Crime,Anand Bhatt,Anand Bhatt,"Crypto Wall 3.0. A ransomeware which targets nearly 10,000 people everyday, has acquired a new target, The FBI. Ali Khan, an employee of a cyber security firm is taken into custody, but things aren't always as they seem. The FBI will have to dig in deep to find out how this cyber crime really works, and what sort of role bitcoins play in aiding such hackers. Based on ... Leer todo",60,5.5,Null
tt10152738,Óskin,Inga Lísa Middleton,Inga Lísa Middleton,"Karen, a 9 year old Icelander has always wanted to meet her London based actor father. Having fantasied about him for years, she realizes when they meet that he's perhaps not the father that she had wished for. This uncomfortable experience gives Karen both the strength and confidence to tackle the local bullies.",No encontrado,No encontrado," 76"
tt13239670,Thomas mot Thomas (en sensasjonell teori om det ubetydelige livet i multiverset),Jakob Rørvik,Jakob Rørvik,"The quantum physicist Thomas thinks he is breaking the code of universe, but fails to solve the mysteries of his own life. Even when the people he loves most; the son, the ex and the mother, all try to drag him back to the domestic sphere.",98,7.0,Null
tt0790628,El increíble Burt Wonderstone,Don Scardino,"Jonathan Goldstein, John Francis Daley, Chad Kultgen","Un mago veterano de Las Vegas intenta revivir su carrera después de que su compañero de toda la vida renuncie, lo echen de su actuación en el casino y un nuevo y provocador ""mago callejero"" le robe el protagonismo.",100,5.9,Null
tt2474838,Krigarnas ö,Emil Jonsvik,"Jessica Björklund Lehto, Mats Helin, Emil Jonsvik",On an idyllic archipelago island Peter will spend a few days together with his daughter Sandra in an attempt to catch up on lost times. They have barely met since the tragic suicide of his son five years earlier and Peter has been struggling to accept the loss of his own child. When on the island Sandra meets a group of youngsters who entice her with both friendship a... Leer todo,116,3.6,Null
tt10334562,John Seena,Simple Suni,No encontrado,No encontrado,No encontrado,No encontrado,Null
tt11816066,Babyface,Taavi Peelo,Taavi Peelo,Johann Hunt is an Estonian-born young man who struggles to find a place in this world. He decides to follow his legendary father's footsteps in order to become a professional wrestler. His new journey starts when he moves over to England. Not long after he dives into the world of wrestling where everything becomes possible. This is an emotional and motivational story ... Leer todo,120,No encontrado,Null
tt10874822,Danime,Mark Cheng,Nathan Faudree,"Danny has discovered he's got a brain tumor and it's starting to cause strange hallucinations. It's almost as if he's seeing things normally found in Japanese anime, including some new found abilities. But are they real? No time to figure it now because Danny and his partner Jack are about to take down the notorious crime lord known as Kotolo. Danny has become Danime.",No encontrado,No encontrado,Null
tt12762606,Jack Squat,Suzanne LaChasse,"Suzanne La, Chasse",,No encontrado,No encontrado,Null
tt10757922,Chyby,Jan Prusinovský,Roman Vojkuvka,Passionate Emma and impulsive but introverted Tomas fall in love. They are like two missing puzzle pieces coming together. But Emma's pornographic past inevitably catches up with them.,99,6.7,Null
tt10968850,Liam: The New Manager,Liam Atkinson,"Ramon, Liam Atkinson",No encontrado,No encontrado,No encontrado,Null
tt10054730,Sorry But No,Matthew Winters,No encontrado,No encontrado,No encontrado,No encontrado," 58"
tt12536396,Takes Me Back,Stephen Jones,"Curtis Mah, Sean Mahaffey","While digging up memories in his basement, Curtis remembers why he never goes down there. Trying to hide his fear from his best friend, Daniel, proves futile. After learning of his friends fear of what lies below the main floor of his family's home, Daniel helps Curtis face his fear. The two mount an assault to face fears and take back the basement from the one thing ... Leer todo",No encontrado,No encontrado,Null
tt10131078,Teech and Bron,Analisa Robertson,"Sandra Lucas, Sara Vitale","Two straight-laced female cops, on a stakeout, who get bored and decide to smoke a confiscated joint. They find themselves in an altered state and discover that they have more in common than they thought.",No encontrado,No encontrado,Null
tt1424381,Predators,Nimród Antal,"Alex Litvak, Michael Finch, Jim Thomas","Un grupo de guerreros de élite se lanza en paracaídas a una selva desconocida, siendo cazados por miembros de una raza alienígena despiadada.",107,6.4,Null
tt10482030,Coucou,Daiva Zalnieriunas,Nina Gilmour,No encontrado,13,No encontrado,Null
tt13093056,Shitty,Hamid Haghjoo,Mehrdad Hamati,No encontrado,2,No encontrado,Null
tt10402840,The Truth Has Changed,Josh Fox,Josh Fox,The Truth Has Changed is a solo monologue which traces the arc of American propaganda and misinformation from 9/11 to Trump from the perspective of the front lines.,116,No encontrado," 87"
tt10938042,Pixel Batman: Enter The Phantom Zone,No encontrado,No encontrado,"The Dark and Gothic City Known as ""Gotham City"" has been under attack by aliens and the caped crusader and other heroes need help to stop this evil, and solve whom it may be.",No encontrado,No encontrado," 85"
tt11790192,Mabel,James Alton,James Alton,,11,No encontrado,Null
tt10560762,Mr.7533's last two options,Parsa Zolfaghari,"Parsa Zolfaghari, Parsa Zolfaghari","A boy comes to an area to do an important job. A woman want to help him. In the middle of the way boy turns regret. But here, if you come, you can't escape. Same as you can never escape DEATH.",14,No encontrado,Null
tt10687484,The Contract,Matic Valentan,Matic Valentan,A look inside a job of paid assassin with unusual disability.,5,9.2,Null
tt1754629,The Final Night and Day,Adam R. Steigert,"Adam R. Steigert, Stephanie Wlosinski","A group of lawmen and convicts find themselves stuck between survivors of a zombie apocalypse and the bloodthirsty undead. Working together this unconventional group of survivors must put aside their differences or pay the ultimate price, become Prisoners of the Dead.",77,4.5,Null
tt10849500,Náttuglan,Gretar Jonsson,Gretar Jonsson,,44,No encontrado,Null
tt29245495,"Jeunesse, mon amour",Léo Fontaine,Léo Fontaine,,71,No encontrado,Null
tt10222946,Corrupto de Amor,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,Null
tt10972314,Talion,Aarón Moreno,Aarón Moreno,,No encontrado,No encontrado,Null
tt13978306,Sin pudor,Monika Mitchell,"Nora Roberts, Edithe Swensen, Donald Martin",La novelista de misterio Grace Miller tiene instinto cuando hay que encontrar un motivo... y necesitará su experiencia para ayudar a resolver el asesinato de su hermana.,94,4.2,Null
tt10298810,Lightyear,Angus MacLane,"Angus Mac, Lane, Matthew Aldrich, Jason Headley",La historia de Buzz Lightyear y sus aventuras hasta el infinito y más allá.,105,6.1,Null
tt10032574,Bembeyaz,Necip Caghan Ozdemir,Necip Caghan Ozdemir,"Vural, a husband and a father who was raised in faith, leads a seemingly pious and conformist life. But everything takes a sudden dark turn when he finds out a truth about his personal life.",97,6.4,Null
tt2577912,Oversized Coat,Nawras Abu Saleh,Nawras Abu Saleh,"Over-Sized Coat"" is a 120 minutes-length masterpiece which talks about the Palestinian reality for the period of (1987-2011).",90,8.0,Null
tt10202644,Corazones en Llamas 3,Juanjo Martínez,Juanjo Martínez,A mafia organization tries to take revenge on a group of mercenaries retired years ago. This group must finish what they started a long time ago in order to continue with their lives away from problems.,No encontrado,No encontrado,Null
tt10011250,Delicious Poison,Amanda Michelle Tenney,Amanda Michelle Tenney,"To protect her heart, Sophie is determined to cut ties with the womanizing man she has come to fall in love with, as she can no longer take being one of many.",10,No encontrado,Null
tt10463422,DSP Dev,Mandeep Benipal,"Gurpreet Bhullar, Inderpal Singh","Honest police officer, Dev, tries to fight the corrupt system prevalent in Daulatpura because of a powerful criminal. He vows to end the tyrant's hooliganisms and bring peace to the town.",145,6.3,Null
tt26399737,No encontrada,No encontrado,No encontrado,No encontrado,No encontrado,No encontrado,Null
tt10362478,Doctor Who: The Runaway,Mathias Chelebourg,"Victoria Asare-Archer, Chris Chibnall","Jodie Whittaker voices an animated version of the Thirteenth Doctor, who recruits the viewer as her unlikely assistant in a race against time to return a strange and potentially dangerous creature called Volta to his home planet.",13,3.9,Null
tt2949614,Legacy of Thorn,Mj Dixon,Mj Dixon,"Four years ago, Jess and her friends lived a nightmare that has left her almost killed by the unstoppable killer 'Thorn'. Four years later, Jessica and the survivors make an attempt to stop him once and for all.",97,3.7,Null
tt10061536,Laundry Day,Erika Arlee,Erika Arlee,"Lottery cards, a cat named Carl, and a whole lot of laundry. This film takes the audience on a journey of acceptance with an unlikely hero who doesn't seem to care much about anyone or anything - until a chance meeting with a woman at a coffee shop reveals a hidden link that could change his life forever.",No encontrado,No encontrado,Null
tt10810336,Revenge - A Minecraft Parody of Usher's DJ Got Us Fallin' In Love,Jordan Maron,No encontrado,"""Revenge"" is a Minecraft parody of ""DJ Got Us Fallin' In Love"" by Usher, written by the YouTube gamer CaptainSparklez and performed by singer TryHardNinja.",No encontrado,9.0,Null
tt11101622,Plantados,Lilo Vilaplana,"Juan Manuel CaoÁngel Santiesteban Prats, Lilo Vilaplana","Sigue las torturas más horribles que los presos políticos, llamados Plantados, recibieron del régimen de Castro.",118,6.9,Null
tt11936544,Yowis Ben 3,Fajar NugrosBayu Skak,"Fajar Nugros, Bayu Skak","In the midst of his fame as a music group, Yowis Ben, threatened to lose one of its personnel and also the manager who had been accompanying them.",113,6.8,Null
tt3334390,Sleeping Beauty,Rene Perez,"Barry Massoni, Rene Perez","The beautiful Aurora is cursed into everlasting sleep by an evil witch for a crime she didn't commit. The brave Commander of the Guard, William, embarks on a quest inspired by both love and loyalty to free the doomed princess.",88,3.5,Null
tt3119328,Exit Road,Yuri Alves,Yuri Alves,"Dane thought he left his demons and his drug addiction behind him, but his first day out of prison challenges both his promise to go clean and his very survival.",13,9.0,Null
tt11529700,Old Ladies Find Money,No encontrado,No encontrado,Two old friends find a bunch of money. And decide to keep it.,No encontrado,No encontrado," 30"
tt22326414,Our Males and Females,Ahmad Alyaseer,"Ahmad Alyaseer, Rana Alyaseer","A father and mother are faced with the painful task of washing and shrouding their deceased transgender daughter. When no one agrees to wash her, how far is the father willing to go to make sure his ""son"" is washed?",11,8.3,Null
tt11590164,Greetings from Sarajevo,Melissa Skirboll,Penny B. Jackson,An assassin is sent to NYC to seek vengeance against the soldier who led the massacre in her hometown in 1995. Is vengeance a dish best served this cold?,10,No encontrado,Null
tt1440728,El americano,Anton Corbijn,"Rowan Joffe, Martin Booth",Un asesino se esconde en Italia para una última misión.,105,6.3,Null
tt10558990,Still the Water,Susan Rodgers,Susan Rodgers,Les hommes d'une famille brisée se réunissent de nombreuses années après qu'une tragédie les a séparés.,100,4.9,Null
tt10741862,Ring,India Dupré,India Dupré,A video doorbell spies on a new couple across the hall as their relationship takes a dark turn.,15,9.0,Null
tt11291254,Transmission,Carleton Rodgers,Carleton Rodgers,UFOs? Alien abduction? A boy finds the key to extraterrestrial connection but loses his brother in the process. Can he re-connect to get him back?,15,6.8,Null
tt23035396,Queen of Diamonds,Shehroze Khan,"Damion Sirdeezel France, Omar Khan","Paula and Ali sit down for the very last time, as they break up over the setting sun of Greenwich Hill.",No encontrado,7.6,Null
tt1427694,Out of the Darkness,Nikki Taylor Roberts,Nikki Taylor Roberts,Tragedy sends a troubled street teen on a dark odyssey when she learns the power of the light of love.,22,7.3,Null
tt3117256,Rien ne peut t'arrêter,David Hourrègue,"David Hourrègue, Loïc Nicoloff","Some things in life are just unacceptable.To know about your loved one's death in a hospital corridor is one of them. Some walls are impassable. And what do you do when the wall of fate comes along with the one of time? With a loud cry, Lucy decides to fight anyway, with all of her strength. Within a last breath, the start of a desperate rush.",15,7.5,Null
tt10065874,Moving A Couch in a Walk-Up,Jeff Rabinak,Gianmarco Soresi,No encontrado,No encontrado,No encontrado," 46"
tt12783454,Mi primer beso 3,Vince Marcello,"Beth Reekles, Vince Marcello, Jay S Arnold","Es el verano previo a la universidad, y Elle tiene un secreto: ha sido aceptada tanto en Harvard, adonde irá su adorable novio Noah, como en Berkeley, destino de su mejor amigo Lee. ¿Qué camino elegirá Elle?",112,4.8,Null
tt10182940,Just Two Dads,Paul Persic,Noah Farberman,"Mike and Bill are just two ordinary dads, living their lives. But they share way more in common than they think.",No encontrado,No encontrado,Null
tt10327130,Soul Eclipse,Irina Unger,Irina Unger,"A gold digger's second attempt of marriage to a wealthy entrepreneur goes tragically wrong. She comes to consciousness in a sacred land of a mysterious Shaman, who believes he is able to heal her battered body and restore the fabric of her lost soul. He coerces her into a spiritual quest to enlightenment, but has dark secrets of his own.",133,7.7,Null
tt11928952,Mashin Sentai Kirameijâ Za Mûbî: Bî-Bappu Dorîmu,Kyohei Yamaguchi,Naruhisa Arakawa,,39,7.1,Null
tt12968322,Commando: Bloodline,Bobi Rostas,Carmen Rain Lykoo,"A soldier returns home from war to be reunited with his fiancée, but not everything goes to plan, will this be his final mission?",No encontrado,No encontrado,Null
tt10228132,Summertime,Tom Beaver,No encontrado,,4,No encontrado,Null
tt10687016,Asbury Park,Legend,Legend,"We're in the midst of a revolution. With protests and uprisings taking place all over the world in the name of justice, we find ourselves in a time where the world is finally ready to hear the voice of the inner city. Asbury Park echoes that voice, revealing a tale of injustice through the eyes of four inner-city youths. They dream of making it out of the hood, but in... Leer todo",117,5.9,Null
tt1625052,Bu-bu-settete...!,Daniel Merendoni,"Evan Eastham, Fabio Pompili",No encontrado,18,No encontrado,Null
tt2057392,Espías desde el cielo,Gavin Hood,Guy Hibbert,"La oficial militar Katherine Powell está al mando de una operación antiterrorista en Kenia. La misión se complica cuando una joven se adentra en la zona mortal, iniciando una disputa internacional sobre las tácticas de guerra modernas.",102,7.3,Null
tt1773733,The Forgotten King,Nikoloz Khomasuridze,Nikoloz Khomasuridze,A mysterious story of crime that has connections with the sacred past of Sakartvelo.,110,7.7,Null
tt10014708,Bluefish,Kenneth Ross,Kenneth Ross,,14,No encontrado,Null
tt11579832,The Unethicals,Tom Lister,Tom Lister,The master thief Jeff Krönkermann is recruited by a mysterious businessman to steal an ancient artefact from an army of clones.,34,9.8,Null
tt31308511,Koresha,Denis Pavlov,"Timur Levchenko, Denis Pavlov","Maks steals a collectible Cadillac from a local authoritative businessman German Eduardovich. Gus is trying to help his friend, even though he was taken hostage and forced to clear out ownerless garages, on the site of which German Eduardovich decided to build the best hotel in Penza. Gus falls under the subordination of Mikhalych, who also looks after the student nuc... Leer todo",85,No encontrado,Null
tt11124220,O Truque de Magia,Alexandre Miguel Silva,"David Remédios, Alexandre Miguel Silva","A young amateur illusionist has an encounter with his Bully, both face each other in an old-fashion duel.",8,No encontrado,Null
tt14852660,Caçadores-Caçados - Delator Incomum,Bruno Benetti,Leo Zincone,,No encontrado,No encontrado,Null
tt14979412,First Nights,Jack Prabhu,"Jack Prabhu, Kalaiyarasan Rajendren, Santoshh",A 4-chapter anthology of 7 couples in one broad backdrop - the first night of marriage.,106,No encontrado,Null
